-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.107,  0.247
-183.798, 80.188, 0.150,  0.280
-183.796, 80.180, 0.267,  0.313
-183.792, 80.167, 0.380,  0.346
-183.786, 80.150, 0.526,  0.379
-183.778, 80.130, 0.596,  0.412
-183.767, 80.107, 0.723,  0.445
-183.751, 80.079, 0.872,  0.478
-183.732, 80.046, 1.034,  0.511
-183.710, 80.007, 1.208,  0.544
-183.688, 79.964, 1.383,  0.577
-183.665, 79.915, 1.550,  0.610
-183.642, 79.861, 1.704,  0.643
-183.618, 79.803, 1.832,  0.676
-183.594, 79.742, 1.910,  0.709
-183.570, 79.681, 1.951,  0.742
-183.547, 79.619, 1.965,  0.775
-183.524, 79.557, 1.958,  0.808
-183.501, 79.496, 1.937,  0.841
-183.478, 79.437, 1.906,  0.874
-183.456, 79.378, 1.866,  0.907
-183.433, 79.322, 1.821,  0.940
-183.412, 79.267, 1.772,  0.973
-183.390, 79.213, 1.721,  1.006
-183.369, 79.162, 1.644,  1.039
-183.348, 79.113, 1.585,  1.072
-183.328, 79.065, 1.545,  1.105
-183.307, 79.018, 1.529,  1.138
-183.286, 78.971, 1.538,  1.171
-183.265, 78.922, 1.568,  1.204
-183.244, 78.872, 1.615,  1.237
-183.222, 78.821, 1.664,  1.270
-183.199, 78.768, 1.718,  1.303
-183.177, 78.713, 1.778,  1.336
-183.154, 78.656, 1.840,  1.369
-183.130, 78.596, 1.896,  1.402
-183.107, 78.536, 1.927,  1.435
-183.084, 78.476, 1.937,  1.468
-183.061, 78.415, 1.928,  1.501
-183.039, 78.356, 1.904,  1.534
-183.018, 78.297, 1.872,  1.567
-182.996, 78.240, 1.832,  1.600
-182.976, 78.185, 1.767,  1.633
-182.956, 78.131, 1.721,  1.666
-182.936, 78.079, 1.689,  1.699
-182.916, 78.027, 1.677,  1.732
